0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
17   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/rob/web/playing/backlight_play/jetty/contexts at interval 0
21   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/rob/web/playing/backlight_play/jetty/contexts/solr.xml
56   [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/rob/web/playing/backlight_play/jetty/webapps/solr.war!/ to /home/rob/web/playing/backlight_play/jetty/solr-webapp/webapp
1101 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1151 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1176 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1177 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/rob/web/playing/backlight_play/jetty/solr
1177 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/rob/web/playing/backlight_play/jetty/solr/'
1178 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rob/web/playing/backlight_play/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1179 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rob/web/playing/backlight_play/jetty/solr/lib/contrib/' to classloader
1179 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rob/web/playing/backlight_play/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
1179 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rob/web/playing/backlight_play/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
1285 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/rob/web/playing/backlight_play/jetty/solr/solr.xml
1374 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/rob/web/playing/backlight_play/jetty/solr
1380 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1296726923
1381 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/rob/web/playing/backlight_play/jetty/solr/]
1382 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/rob/web/playing/backlight_play/jetty/solr/lib
1382 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rob/web/playing/backlight_play/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1382 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rob/web/playing/backlight_play/jetty/solr/lib/contrib/' to classloader
1383 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rob/web/playing/backlight_play/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
1383 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/rob/web/playing/backlight_play/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
1399 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
1400 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
1403 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
1403 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
1403 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
1403 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
1403 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
1404 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
1404 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
1707 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
1709 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
1709 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
1710 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
